id;name;typ;untertyp;status;kapazitaet_max;kapazitaet_verfuegbar;auslastung_prozent;strasse;plz;ort;stadtteil;lat;lon;barrierefrei;stromversorgung_notstrom;wasser_verfuegbar;sanitaer_verfuegbar;betreiber;ansprechpartner;letzte_pruefung;prioritaet;hinweis
"NK-0001";"Notunterkunft Mitte 1";"Notunterkunft";"Sporthalle";"aktiv";"305";"180";"41";"Musterstrasse 1";"73728";"Esslingen am Neckar";"Mitte";"48.7419";"9.327378148524463";"nein";"nein";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-08-21";"hoch";"Zugang ueber Nordseite, Schluessel im Stabsraum hinterlegt"
"NK-0002";"Notunterkunft Nord 2";"Notunterkunft";"Sporthalle";"aktiv";"282";"174";"38";"Musterstrasse 2";"73728";"Esslingen am Neckar";"Nord";"48.7542274221586";"9.325905729597915";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2025-04-13";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0003";"Notunterkunft Sued 3";"Notunterkunft";"Sporthalle";"aktiv";"289";"160";"45";"Musterstrasse 3";"73728";"Esslingen am Neckar";"Sued";"48.75483747183872";"9.312037256870944";"ja";"ja";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2025-10-02";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0004";"Notunterkunft Weststadt 4";"Notunterkunft";"Sporthalle";"aktiv";"84";"27";"68";"Musterstrasse 4";"73728";"Esslingen am Neckar";"Weststadt";"48.78326029479743";"9.304484080306501";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2026-03-09";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0005";"Notunterkunft Oberdorf 5";"Notunterkunft";"Sporthalle";"aktiv";"236";"71";"70";"Musterstrasse 5";"73728";"Esslingen am Neckar";"Oberdorf";"48.77181699332791";"9.287178030533761";"ja";"nein";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-04-10";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0006";"Notunterkunft Pliensauvorstadt 6";"Notunterkunft";"Sporthalle";"aktiv";"330";"239";"28";"Musterstrasse 6";"73728";"Esslingen am Neckar";"Pliensauvorstadt";"48.765678227626";"9.262966990491396";"nein";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-12-22";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0007";"Notunterkunft Zell 7";"Notunterkunft";"Sporthalle";"aktiv";"132";"111";"16";"Musterstrasse 7";"73728";"Esslingen am Neckar";"Zell";"48.741750463405744";"9.277922785574892";"ja";"ja";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-07-21";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0008";"Notunterkunft Obertal 8";"Notunterkunft";"Sporthalle";"aktiv";"305";"93";"70";"Musterstrasse 8";"73728";"Esslingen am Neckar";"Obertal";"48.72554667952108";"9.276698207728506";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2026-01-30";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0009";"Notunterkunft Sulzgries 9";"Notunterkunft";"Sporthalle";"aktiv";"287";"62";"78";"Musterstrasse 9";"73728";"Esslingen am Neckar";"Sulzgries";"48.71602632917333";"9.289918558865018";"ja";"nein";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2025-07-03";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0010";"Notunterkunft Berkheim 10";"Notunterkunft";"Sporthalle";"aktiv";"326";"188";"42";"Musterstrasse 10";"73728";"Esslingen am Neckar";"Berkheim";"48.6922532314158";"9.305017440841105";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2026-01-30";"mittel";"Zugang ueber Nordseite, Schluessel im Stabsraum hinterlegt"
